t,V_e,V_m
-0.000125,4.92,0.88
-0.0001249,4.96,0.84
-0.0001248,4.96,0.88
-0.0001247,4.96,0.88
-0.0001246,5.04,0.92
-0.0001245,5.04,0.88
-0.00012440000000000002,4.96,0.92
-0.0001243,5.0,0.88
-0.0001242,5.0,0.92
-0.0001241,5.04,0.92
-0.000124,4.96,0.92
-0.0001239,5.0,0.96
-0.0001238,5.0,0.92
-0.0001237,5.04,0.96
-0.0001236,5.04,0.92
-0.0001235,5.04,0.96
-0.0001234,5.08,0.88
-0.00012330000000000002,5.04,0.92
-0.0001232,5.04,0.96
-0.0001231,5.08,0.96
-0.000123,5.04,0.96
-0.0001229,5.04,0.96
-0.0001228,5.08,1.08
-0.0001227,5.04,1.0
-0.0001226,5.08,1.0
-0.0001225,5.08,1.04
-0.0001224,5.08,1.04
-0.0001223,5.12,1.04
-0.00012220000000000002,5.08,1.04
-0.0001221,5.12,1.04
-0.000122,5.12,1.0
-0.00012190000000000001,5.12,1.04
-0.0001218,5.12,1.08
-0.0001217,5.12,1.04
-0.0001216,5.12,1.04
-0.0001215,5.12,1.08
-0.0001214,5.16,1.08
-0.00012130000000000001,5.12,1.08
-0.0001212,5.16,1.04
-0.0001211,5.16,1.12
-0.000121,5.16,1.12
-0.0001209,5.16,1.04
-0.00012080000000000001,5.16,1.08
-0.0001207,5.12,1.08
-0.0001206,5.16,1.12
-0.0001205,5.16,1.16
-0.0001204,5.2,1.08
-0.0001203,5.2,1.12
-0.00012020000000000001,5.16,1.12
-0.0001201,5.2,1.12
-0.00012,5.2,1.12
-0.0001199,5.16,1.16
-0.0001198,5.2,1.12
-0.00011970000000000001,5.2,1.16
-0.00011960000000000001,5.2,1.16
-0.0001195,5.28,1.16
-0.0001194,5.24,1.16
-0.0001193,2.96,0.2
-0.0001192,2.88,-0.76
-0.00011910000000000001,2.88,-1.08
-0.000119,2.88,-1.16
-0.0001189,2.88,-1.16
-0.0001188,2.84,-1.16
-0.0001187,2.88,-1.2
-0.00011860000000000001,2.84,-1.16
-0.00011850000000000001,2.88,-1.12
-0.0001184,2.88,-1.12
-0.0001183,2.88,-1.16
-0.0001182,2.92,-1.12
-0.0001181,2.88,-1.08
-0.00011800000000000001,2.96,-1.12
-0.0001179,2.88,-1.2
-0.0001178,2.92,-1.12
-0.0001177,2.92,-1.2
-0.0001176,2.92,-1.12
-0.00011750000000000001,2.88,-1.12
-0.00011740000000000001,2.92,-1.08
-0.0001173,2.92,-1.08
-0.0001172,2.92,-1.08
-0.0001171,2.96,-1.12
-0.000117,3.0,-1.08
-0.0001169,2.96,-1.12
-0.0001168,2.92,-1.04
-0.0001167,3.0,-1.08
-0.0001166,2.92,-1.04
-0.0001165,3.04,-1.08
-0.00011640000000000001,3.0,-1.04
-0.00011630000000000001,3.0,-1.0
-0.0001162,3.0,-1.04
-0.0001161,3.0,-1.0
-0.000116,2.96,-1.0
-0.0001159,2.96,-1.0
-0.0001158,3.0,-1.04
-0.00011570000000000001,3.0,-1.0
-0.0001156,3.04,-1.0
-0.0001155,3.0,-1.0
-0.0001154,3.04,-1.04
-0.0001153,3.04,-1.0
-0.00011520000000000001,3.04,-1.04
-0.0001151,3.04,-0.96
-0.000115,3.04,-1.0
-0.0001149,3.04,-1.0
-0.0001148,3.08,-0.96
-0.0001147,3.08,-0.96
-0.00011460000000000001,3.04,-0.96
-0.0001145,3.08,-0.96
-0.0001144,3.08,-0.92
-0.0001143,3.04,-0.96
