t,V_m,V_e
0.1764,-1.44,0.08
0.17641,-1.44,0.0
0.17642,-1.44,0.08
0.17643,-1.44,0.08
0.17644,-1.44,0.08
0.17645,-1.36,0.08
0.17646,-1.44,0.0
0.17647,-1.44,0.0
0.17648,-1.44,0.0
0.17649,-1.44,0.08
0.1765,-1.36,0.0
0.17651,-1.44,0.0
0.17652,-1.44,0.08
0.17653,-1.44,0.0
0.17654,-1.36,0.08
0.17655,-1.36,0.08
0.17656,-1.44,0.08
0.17657,-1.44,0.0
0.17658000000000001,-1.44,0.08
0.17659,-1.44,0.08
0.1766,-1.44,0.0
0.17661,-1.44,0.0
0.17662,-1.44,0.08
0.17663,-1.44,0.0
0.17664,-1.44,0.08
0.17665,-1.44,0.0
0.17666,-1.44,0.08
0.17667,-1.44,0.08
0.17668,-1.52,0.08
0.17669,-1.44,0.08
0.1767,-1.44,0.0
0.17671,-1.44,0.08
0.17672,-1.44,0.0
0.17673,-1.44,0.08
0.17674,-1.44,0.0
0.17675,-1.44,0.08
0.17676,-1.52,0.08
0.17677,-1.44,0.08
0.17678,-1.44,0.08
0.17679,-1.44,0.0
0.1768,-1.44,0.08
0.17681,-1.44,0.0
0.17682,-1.44,0.08
0.17683000000000001,-1.44,0.08
0.17684,-1.44,0.08
0.17685,-1.44,0.08
0.17686,-1.44,0.08
0.17687,-1.44,0.0
0.17688,-1.44,0.08
0.17689,-1.44,0.0
0.1769,-1.44,0.08
0.17691,-1.44,0.0
0.17692,-1.44,0.08
0.17693,-1.44,0.08
0.17694000000000001,-1.44,0.0
0.17695,-1.44,0.0
0.17696,-1.44,0.0
0.17697,-1.44,0.08
0.17698,-1.44,0.0
0.17699,-1.44,0.0
0.177,-1.44,0.08
0.17701,-1.44,0.08
0.17702,-1.44,0.08
0.17703,-1.44,0.08
0.17704,-1.44,0.08
0.17705,-1.44,0.08
0.17706,-1.52,0.0
0.17707,-1.44,0.0
0.17708000000000002,-1.44,0.08
0.17709,-1.44,0.08
0.1771,-1.52,0.0
0.17711,-1.52,0.08
0.17712,-1.52,0.0
0.17713,-1.52,0.08
0.17714,-1.44,0.08
0.17715,-1.44,0.08
0.17716,-1.52,0.08
0.17717,-1.52,0.0
0.17718,-1.52,0.0
0.17719000000000001,-1.44,0.08
0.1772,-1.44,0.0
0.17721,-1.44,0.0
0.17722,-1.44,0.08
0.17723,-1.52,0.08
0.17724,-1.44,0.08
0.17725,-1.44,0.08
0.17726,-1.52,0.0
0.17727,-1.52,0.0
0.17728,-1.52,0.08
0.17729,-1.52,0.08
0.1773,-1.52,0.08
0.17731,-1.52,0.08
0.17732,-1.52,0.08
0.17733,-1.44,0.08
0.17734,-1.52,0.08
0.17735,-1.44,0.08
0.17736,-1.52,0.0
0.17737,-1.52,0.0
0.17738,-1.52,0.08
0.17739,-1.52,0.08
0.1774,-1.52,0.0
0.17741,-1.52,0.0
0.17742,-1.44,0.08
0.17743,-1.52,0.08
0.17744000000000001,-1.52,0.0
0.17745,-1.44,0.08
0.17746,-1.52,0.08
0.17747,-1.52,0.08
0.17748,-1.44,0.08
0.17749,-1.52,0.08
0.1775,-1.52,0.08
0.17751,-1.52,0.0
0.17752,-1.52,0.08
0.17753,-1.52,0.0
0.17754,-1.52,0.08
0.17755,-1.52,0.08
0.17756,-1.6,0.0
0.17757,-1.52,0.0
0.17758,-1.44,0.0
0.17759,-1.52,0.08
0.1776,-1.52,0.0
0.17761,-1.52,0.08
0.17762,-1.52,0.08
0.17763,-1.52,0.08
0.17764,-1.44,0.08
0.17765,-1.52,0.08
0.17766,-1.52,0.0
0.17767,-1.52,0.08
0.17768,-1.52,0.08
0.17769000000000001,-1.52,0.08
0.1777,-1.44,0.08
0.17771,-1.52,0.0
0.17772,-1.52,0.08
0.17773,-1.52,0.08
0.17774,-1.52,0.08
0.17775,-1.52,0.0
0.17776,-1.52,0.08
0.17777,-1.52,0.08
0.17778,-1.52,0.08
0.17779,-1.52,0.0
0.1778,-1.52,0.08
0.17781,-1.52,0.08
0.17782,-1.44,0.08
0.17783,-1.44,4.88
0.17784,-1.44,4.96
0.17785,-1.44,4.96
0.17786,-1.44,4.96
0.17787,-1.44,4.96
0.17788,-1.44,4.96
0.17789,-1.36,4.96
0.1779,-1.36,4.96
0.17791,-1.36,4.88
0.17792,-1.28,4.96
0.17793,-1.28,4.96
0.17794000000000001,-1.28,4.96
0.17795,-1.28,4.96
0.17796,-1.2,4.96
0.17797,-1.2,4.96
0.17798,-1.2,4.88
0.17799,-1.12,4.96
0.178,-1.2,4.96
0.17801,-1.12,4.96
0.17802,-1.12,4.88
0.17803,-1.12,4.96
0.17804,-1.04,4.96
0.17805,-1.04,4.96
0.17806,-1.04,4.96
0.17807,-1.12,4.96
0.17808,-1.04,4.96
0.17809,-1.04,4.96
0.1781,-0.96,4.96
0.17811,-0.96,4.96
0.17812,-0.96,4.88
0.17813,-0.96,4.96
0.17814,-0.96,4.96
